ID	G45047	G45048	G45049	G45050	G45051	G45052	G45053	G45054	G45055	G45056	G45057	G45058	G45059	G45060	G45061	G45062	G45063	G45064	G45065	G45066	G45067	G45068	G45069	G45070	G45071	G45072	G45073	G45074	G45075	G45076	G45077	G45078	G45079	G45080	G45081	G45082	G45083	G45084	G45085	G45086	G45087	G45088	G45089	G45090	G45091	G45092	G45093	G45094	G45095	G45096	G45097	G45098	G45099	G45100	G45101	G45102	G45103	G45104	G45105	G45106	G45107	G45108	G45109	G45110	G45111	G45112	G45113	G45114	G45115	G45116	G45117	G45118	G45119	G45120	G45121	G45122	G45123	G45124	G45125	G45126	G45223	G45225	G45226	G45227	G45228	G45229	G45230	G45231	G45235	G45236	G45237	G45238	G45239	G45240	G45241	G45242	G45243	G45244	G45245	G45246	G45247	G45248	G45249	G45250	G45251	G45252	G45253	G45254	G45255	G45256	G45257	G45258	G45259	G45260	G45261	G45262	G45263	G45264	G45265	G45266	G45267	G45268	G45269	G45270	G45271	G45272
k__Bacteria	8603019	5117169	5441803	6784299	5919965	5459895	7247427	5271851	6851141	3733360	3022938	5234281	4333683	4836514	4836709	8466974	5223525	4722243	4595987	5615427	5040772	5522813	6743380	7268851	4520109	4599164	5794416	6582472	4939782	4758909	5243312	6450167	8684917	4174576	7288882	6703585	8502547	4658243	4438695	6486350	5378178	6274598	6511901	6521442	5758334	4649662	4831472	6319147	6781617	6115385	7216243	6233185	6298416	7873628	6218838	6458796	8893183	4516080	7975968	6357944	8831408	4599072	5191902	5086526	6375747	6439112	8429248	4855248	9696617	6831737	5772039	4339104	6361050	5453926	3821747	5966678	5438750	4013663	4440713	3703125	6801033	21961008	5716153	6718162	7741501	6696308	7449995	11360246	9789272	9329593	6422005	6130990	6619966	19378406	6205049	7838825	8168423	7184808	8465366	7158055	8476381	8923424	5687357	8379983	6853714	6083566	12802113	7703762	7391691	22596587	7169963	8298903	8292353	10418473	9906061	7591080	7634979	10035498	9081173	6491826	8203880	7584324	6883629	8364616	7342894	6487976
k__Bacteria|p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria	3117289	134714	43962	719673	858021	3290154	2661165	108496	32009	11914	14494	160088	117841	194953	209475	1020445	567296	1589987	559943	421391	910058	591982	597930	2549886	136985	110596	1328955	1887452	983802	470714	1144786	109931	2527454	29978	816571	299501	1233503	28976	147144	537347	608498	569203	376006	284232	302296	286116	382082	515565	151188	395816	427534	703797	832256	161135	2345548	1388974	1604752	790820	4817077	2543353	4357624	653443	502203	1382750	304354	21470	912977	60309	896815	468602	214710	311493	390951	507324	207627	1234235	10123	436211	1104234	597664	487952	22829759	1231367	1625256	2026997	247186	1374659	5029623	1461642	1138967	705725	421726	3033	18873995	1498989	1434273	1701822	1801676	917858	844169	1516098	664873	306289	381696	1559007	138927	6540	2676	130193	1519540	710134	244424	678018	765800	1850264	3141870	44882	2813	1536981	151147	266686	1300012	191153	1899557	657048	222203
k__Bacteria|p__Actinobacteria|c__Actinobacteria	3117289	134714	43962	719673	858021	3290154	2661165	108496	32009	11914	14494	160088	117841	194953	209475	1020445	567296	1589987	559943	421391	910058	591982	597930	2549886	136985	110596	1328955	1887452	983802	470714	1144786	109931	2527454	29978	816571	299501	1233503	28976	147144	537347	608498	569203	376006	284232	302296	286116	382082	515565	151188	395816	427534	703797	832256	161135	2345548	1388974	1604752	790820	4817077	2543353	4357624	653443	502203	1382750	304354	21470	912977	60309	896815	468602	214710	311493	390951	507324	207627	1234235	10123	436211	1104234	597664	487952	22829759	1231367	1625256	2026997	247186	1374659	5029623	1461642	1138967	705725	421726	3033	18873995	1498989	1434273	1701822	1801676	917858	844169	1516098	664873	306289	381696	1559007	138927	6540	2676	130193	1519540	710134	244424	678018	765800	1850264	3141870	44882	2813	1536981	151147	266686	1300012	191153	1899557	657048	222203
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	296	0.0	0.0	1406	465	0.0	0.0	3944	5245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72	643	0.0	0.0	0.0	1409	213	0.0	361	0.0	0.0	3740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3083	0.0	0.0	0.0	0.0	0.0	968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102	0.0	0.0	0.0	17385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1538	0.0	7752	0.0	567	2154	0.0	0.0	6809	0.0	2430	6514	0.0	0.0	171	0.0	0.0	0.0	0.0	1108	0.0	951	207	0.0	0.0	2652	22665	0.0	0.0	0.0	881	0.0	0.0	0.0	50	960	733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	439	0.0	0.0
